Subject,CatalogNumber,CourseTitle,CourseType,Dates,Credit,MeetingTime,Room,Instructor,TotalSeats,SeatsTaken,AvailableSeats
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Matthew Larson,999,1,998
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Gregory Banaszak,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Ryan Scherber,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Alyssa Paul,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Staff,999,3,996
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Don Better,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Alyssa Paul,999,1,998
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Gregory Banaszak,999,3,996
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Mark Demio,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Kathleen Horvath,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Heidi Ruby-Kushious,999,5,994
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Gerardo Teissonniere,999,2,997
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Stephen Sims,999,1,998
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Paul Ferguson,999,1,998
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Carol Ruzicka,999,1,998
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Loren Toplitz,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Meghan Guegold,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Matthew Larson,999,1,998
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Ryan Scherber,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Lisa Nelson,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Bryan Dumm,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Staff,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Dean Southern,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Staff,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Cynthia Watson,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Daniel Gilbert,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Alyssa Paul,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Derek Nishimura,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Olga Radosavljevich,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Todd Wilson,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Don Better,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Denise Howell,999,2,997
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Caryl Guinn,999,0,999
MUAP,122,Principal Performance Area II,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Staff,999,17,982
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Alyssa Paul,999,4,995
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Lisa Nelson,999,1,998
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Dean Southern,999,0,999
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Cynthia Watson,999,0,999
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Denise Howell,999,0,999
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Gerardo Teissonniere,999,1,998
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Heidi Ruby-Kushious,999,2,997
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Don Better,999,3,996
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Caryl Guinn,999,0,999
MUAP,131,Secondary Performance,Performance,02/01/2021 - 05/07/2021,1 - 2 units,TBA ,To Be Announced,Paul Ferguson,999,0,999
